Eng,Th,Romanized
the,,
can2,Can2,rarok
Dis Adverbantage,Dis Adverbantage,rai aaaaaaaaaaaaaaaaaaaaiiiii
FALSE,FALSE,yoraraa
TRUE,TRUE,araaa
who,Who,rai
can1,can1,rari 
close1,close1,yorarai a
close2,close2,yairorok
last1 (taking time),last1 (สละเวลา),yari  sasalawela
last1 (final),last1 (สุดท้าย),yari  sutthai
live1,live1,yarara a
live2,live2,yararok
second1 (next after the first),second1 (ต่อไปหลังจากที่ครั้งแรก),yairarai  ttopailangchakhrangraek
second1 (unit of time),second1 (หน่วยเวลา),yairarai  naaiwela
tear1,tear1,yarara a
tear2,tear2,yararok
wind1,wind1,yarara a
wind2,wind2,yararok
rule,กฎ,kot
law,กฎหมาย,kotmai
press,กด,kot
grateful,กตัญญู,katanyu
frog,กบ,kop
July,กรกฎาคม,korokdakhom
case,กรณี,korani
emergency,กรณีฉุกเฉิน,koranichukchoen
committee,กรรมการ,kammakan
frame,กรอบ,krop
glass,กระจก,krachok
mirror,กระจกเงา,krachokngao
distribute,กระจาย,krachai
whisper,กระซิบ,krasip
paper,กระดาษ,kradat
bell,กระดิ่ง,krading
bone,กระดูก,kraduk
keen,กระตือรือร้น,kratuerueron
enthusiastic,กระตือรือร้น,kratuerueron
urge,กระตุ้น,kratun
pan,กระทะ,kratha
theme,กระทู้,krathu
cottage,กระท่อม,krathom
process,กระบวนการ,krabuankan
anxious,กระวนกระวาย,krawankrawai
bullet,กระสุน,krasun
thirsty,กระหายน้ำ,krahainam
pocket,กระเป๋าเสื้อ,krapaosuea
stomach,กระเพาะอาหาร,krapho-ahan
stream,กระแส,krasae
jump,กระโดด,kradot
skirt,กระโปรง,kraprong
scream,กรีดร้อง,kritrong
please,กรุณา,karuna
strategy,กลยุทธ์,konlayut
hollow,กลวง,kluang
drum,กลอง,klong
return,กลับ,klap
back,กลับ,klap
turn,กลับ,klap
frightened,กลัว,klua
fear,กลัว,klua
scared,กลัว,klua
middle,กลาง,klang
medium,กลาง,klang
night,กลางคืน,klangkhuen
outdoor,กลางแจ้ง,klangchaeng
outdoors,กลางแจ้ง,klangchaeng
become,กลายเป็น,klaipen
smell,กลิ่น,klin
group,กลุ่ม,klum
box,กล่อง,klong
mention,กล่าวถึง,klaothueng
accuse,กล่าวโทษ,klaothot
banana,กล้วย,kluai
camera,กล้อง,klong
muscle,กล้ามเนื้อ,klamnuea
brave,กล้าหาญ,klahan
sweep,กวาด,kwat
poet,กวี,kawi
than,กว่า,kwa
wide,กว้าง,kwang
broad,กว้าง,kwang
vast,กว้างใหญ่,kwangyai
king,กษัตริย์,kasatri
pile,กอง,kong
army,กองทัพบก,kongthapbok
fund,กองทุน,kongthun
golf,กอล์ฟ,ko
sailor,กะลาสี,kalasi
worry,กังวล,kangwon
concern,กังวล,kangwon
worried,กังวล,kangwon
bite,กัด,kat
September,กันยายน,kanyayon
with,กับ,kap
captain,กัปตัน,kaptan
trousers,กางเกง,kangkeng
pants,กางเกง,kangkeng
jeans,กางเกงยีนส์,kangkengyin
physical,กายภาพ,kaiphap
distribution,การกระจาย,kankrachai
offence,การกระทำผิดกฎหมาย,kankrathamphitkotmai
charity,การกุศล,kankuson
construction,การก่อสร้าง,kankosang
driving,การขับรถ,kankhaprot
sale,การขาย,kankhai
threat,การคุกคาม,kankhukkham
discovery,การค้นพบ,kankhonphop
traffic,การจราจร,kancharachon
reservation,การจองห้องพัก,kanchonghongphak
arrangement,การจัดการ,kanchatkan
management,การจัดการ,kanchatkan
organizer,การจัดงาน,kanchatngan
delivery,การจัดส่ง,kanchatsong
preparation,การจัดเตรียม,kanchattriam
capture,การจับกุม,kanchapkum
matching,การจับคู่,kanchapkhu
pay,การจ่ายเงิน,kanchai-ngoen
employment,การจ้าง,kanchang
payment,การชำระเงิน,kanchamra-ngoen
washing,การซัก,kansak
living,การดำรงชีวิต,kandamrongchiwit
existence,การดำรงอยู่,kandamrongyu
care,การดูแล,kandulae
examination,การตรวจสอบ,kantruatsop
marketing,การตลาด,kantalat
judgement,การตัดสิน,kantatsin
decision,การตัดสิน,kantatsin
setting,การตั้งค่า,kantangkha
infection,การติดเชื้อ,kantitchuea
battle,การต่อสู้,kantosu
struggle,การต่อสู้,kantosu
photography,การถ่ายภาพ,kanthaiphap
shot,การถ่ายภาพ,kanthaiphap
experiment,การทดลอง,kanthotlong
trial,การทดลอง,kanthotlong
working,การทำงาน,kanthamngan
operation,การทำงาน,kanthamngan
farming,การทำฟาร์ม,kanthamfam
travel,การท่องเที่ยว,kanthongthiao
tourism,การท่องเที่ยว,kanthongthiao
tour,การท่องเที่ยว,kanthongthiao
administration,การบริหาร,kanborihan
recording,การบันทึก,kanbanthuek
entertainment,การบันเทิง,kanbanthoeng
flying,การบิน,kanbin
homework,การบ้าน,kanban
practise,การปฏิบัติ,kanpatibat
practice,การปฏิบัติ,kanpatibat
revolution,การปฏิวัติ,kanpatiwat
contest,การประกวด,kanprakuat
announcement,การประกาศ,kanprakat
conference,การประชุม,kanprachum
invention,การประดิษฐ์,kanpradit
assessment,การประเมินผล,kanpramoenphon
improvement,การปรับปรุง,kanprapprung
appearance,การปรากฏ,kanprakot
cooking,การปรุงอาหาร,kanprung-ahan
protection,การป้องกัน,kanpongkan
Adventure,การผจญภัย,kanphachonphai
produce,การผลิต,kanphlit
production,การผลิต,kanphlit
carry,การพกพา,kanphokpha
consideration,การพิจารณา,kanphicharana
printing,การพิมพ์,kanphim
speech,การพูด,kanphut
talk,การพูดคุย,kanphutkhui
assignment,การมอบหมาย,kanmopmai
arrival,การมาถึง,kanmathueng
presence,การมี,kanmi
shooting,การยิง,kanying
combination,การรวมกัน,kanruamkan
funding,การระดมทุน,kanradomthun
explosion,การระเบิด,kanraboet
treatment,การรักษา,kanraksa
therapy,การรักษาด้วย,kanraksaduai
singing,การร้องเพลง,kanrongphleng
complaint,การร้องเรียน,kanrongrian
register,การลงทะเบียน,kanlongthabian
investment,การลงทุน,kanlongthun
punishment,การลงโทษ,kanlongthot
reduction,การลดลง,kanlotlong
hunting,การล่าสัตว์,kanlasat
measurement,การวัด,kanwat
planning,การวางแผน,kanwangphaen
drawing,การวาดภาพ,kanwatphap
analysis,การวิเคราะห์,kanwikhro
unemployment,การว่างงาน,kanwangngan
swim,การว่ายน้ำ,kanwainam
educated,การศึกษา,kansueksa
education,การศึกษา,kansueksa
conversation,การสนทนา,kansonthana
contribution,การสนับสนุน,kansanapsanun
creation,การสร้าง,kansang
teaching,การสอน,kanson
exam,การสอบ,kansop
enquiry,การสอบสวน,kansopsuan
spelling,การสะกดคำ,kansakotkham
observation,การสังเกต,kansangket
exploration,การสำรวจ,kansamruat
communication,การสื่อสาร,kansuesan
loss,การสูญเสีย,kansunsia
scan,การสแกน,kansakaen
divorced,การหย่าร้าง,kanyarang
breathing,การหายใจ,kanhaichai
prayer,การอธิษฐาน,kan-athitthan
permission,การอนุญาต,kan-anunat
approval,การอนุมัติ,kan-anumat
training,การอบรม,kan-oprom
exercise,การออกกำลังกาย,kan-okkamlangkai
fitness,การออกกำลังกาย,kan-okkamlangkai
departure,การออกเดินทาง,kan-okdoenthang
bath,การอาบน้ำ,kan-apnam
reading,การอ่าน,kan-an
reference,การอ้างอิง,kan-ang-ing
writing,การเขียน,kankhian
entry,การเข้า,kankhao
reach,การเข้าถึง,kankhaothueng
movement,การเคลื่อนไหว,kankhlueanwai
housing,การเคหะ,kankheha
finance,การเงิน,kanngoen
financial,การเงิน,kanngoen
growth,การเจริญเติบโต,kancharoentoepto
illness,การเจ็บป่วย,kancheppuai
connect,การเชื่อมต่อ,kanchueamto
trip,การเดินทาง,kandoenthang
journey,การเดินทาง,kandoenthang
expedition,การเดินทาง,kandoenthang
sailing,การเดินเรือ,kandoenruea
dancing,การเต้นรำ,kantenram
comparison,การเปรียบเทียบ,kanpriapthiap
transition,การเปลี่ยนแปลง,kanplianplaeng
opening,การเปิด,kanpoet
politics,การเมือง,kanmueang
learning,การเรียนรู้,kanrianru
selection,การเลือก,kanlueak
election,การเลือกตั้ง,kanlueaktang
skiing,การเล่นสกี,kanlensaki
narrative,การเล่าเรื่อง,kanlaorueang
presentation,การเสนอ,kansanoe
mine (hole in the ground),การเหมืองแร่ (หลุมในดิน),kanmueangrae  hlumnaidino
mine (belongs to me),การเหมืองแร่ (เป็นของฉัน),kanmueangrae phepenkhongchan
competitive,การแข่งขัน,kankhaengkhan
competition,การแข่งขัน,kankhaengkhan
match (contest/correspond),การแข่งขัน (การประกวด / ตรง),kankhaengkhan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan phan p
race (people),การแข่งขัน (คน),kankhaengkhan phakhano
race (competition),การแข่งขัน (แข่งขัน),kankhaengkhan phakhaengkhan
racing,การแข่งรถ,kankhaengrot
marriage,การแต่งงาน,kantaengngan
appointment,การแต่งตั้ง,kantaengtang
translation,การแปล,kanplae
spread,การแพร่กระจาย,kanphraekrachai
expression,การแสดงออก,kansadaeng-ok
Advertising,การโฆษณา,kankhosana
Advertisement,การโฆษณา,kankhosana
ad,การโฆษณา,kankhosana
argument,การโต้เถียง,kantothiang
spending,การใช้จ่าย,kanchaichai
hearing,การได้ยิน,kandaiyin
cartoon,การ์ตูน,katun
coffee,กาแฟ,kafae
rid,กำจัด,kamchat
impose,กำหนด,kamnot
determine,กำหนด,kamnot
define,กำหนด,kamnot
custom,กำหนดเอง,kamnot-eng
birth,กำเนิด,kamnoet
profit,กำไร,kamrai
activity,กิจกรรม,kitchakam
routine,กิจวัตรประจำวัน,kitwatprachamwan
eat,กิน,kin
kilometre,กิโลเมตร,kilomet
guitar,กีตาร์,kita
sport,กีฬา,kila
baseball,กีฬาเบสบอล,kilabetbon
February,กุมภาพันธ์,kumphaphan
recover,กู้,ku
rescue,กู้ภัย,kuphai
previous,ก่อน,kon
before,ก่อน,kon
previously,ก่อนหน้านี้,konnani
pose,ก่อให้เกิด,kohaikoet
bent,ก้ม,kom
pace,ก้าว,kao
aggressive,ก้าวร้าว,kaorao
moment,ขณะ,khana
fur,ขน,khon
feather,ขน,khon
bread,ขนมปัง,khanompang
wool,ขนสัตว์,khonsat
transport,ขนส่ง,khonsong
size,ขนาด,khanat
scale,ขนาด,khanat
tiny,ขนาดเล็ก,khanatlek
bitter,ขม,khom
refuse,ขยะ,khaya
rubbish,ขยะมูลฝอย,khayamunfoi
expand,ขยายตัว,khayaitua
rough,ขรุขระ,khrukhra
bottle,ขวด,khuat
right,ขวา,khwa
pitch,ขว้าง,khwang
beg,ขอ,kho
of,ของ,khong
gift,ของขวัญ,khongkhwan
your,ของคุณ,khongkhun
yours,ของคุณ,khongkhun
my,ของฉัน,khongchan
their,ของพวกเขา,khongphuakkhao
theirs,ของพวกเขา,khongphuakkhao
its,ของมัน,khongman
his,ของเขา,khongkhao
hers,ของเธอ,khongthoe
our,ของเรา,khongrao
ours,ของเราเอง,khongrao-eng
toy,ของเล่น,khonglen
waste,ของเสีย,khongsia
liquid,ของเหลว,khongleo
solid,ของแข็ง,khongkhaeng
regional,ของแคว้น,khongkhwaen
edge,ขอบ,khop
thanks,ขอบคุณ,khopkhun
thank,ขอบคุณ,khopkhun
extent,ขอบเขต,khopkhet
request,ขอร้อง,khorong
apologize,ขอโทษ,khothot
sorry,ขอโทษ,khothot
excuse,ขอโทษ,khothot
interrupt,ขัดจังหวะ,khatchangwa
conflict,ขัดแย้ง,khatyaeng
offend,ขัดใจ,khatchai
bowl,ขัน,khan
drive,ขับรถ,khaprot
step,ขั้นตอน,khanton
procedure,ขั้นตอน,khanton
minimum,ขั้นต่ำ,khantam
basic,ขั้นพื้นฐาน,khanphuenthan
leg,ขา,kha
sell,ขาย,khai
white,ขาว,khao
maximum,ขีดสุด,khitsut
lazy,ขี้เกียจ,khikiat
increasingly,ขึ้น,khuen
up,ขึ้น,khuen
depend,ขึ้นอยู่กับ,khuenyukap
dig,ขุด,khut
frighten,ขู่,khu
threaten,ขู่,khu
thief,ขโมย,khamoi
steal,ขโมย,khamoi
news,ข่าว,khao
message,ข่าวสาร,khaosan
text,ข้อความ,khokhwam
agreement,ข้อตกลง,khotoklong
data,ข้อมูล,khomun
information,ข้อมูล,khomun
profile,ข้อมูลส่วนตัว,khomunsuantua
insight,ข้อมูลเชิงลึก,khomunchoengluek
conclusion,ข้อสรุป,khosarup
ankle,ข้อเท้า,khothao
claim,ข้อเรียกร้อง,khoriakrong
proposal,ข้อเสนอ,khosanoe
feedback,ข้อเสนอแนะ,khosenoenae
recommendation,ข้อเสนอแนะ,khosenoenae
suggestion,ข้อเสนอแนะ,khosenoenae
difference,ข้อแตกต่าง,khotaektang
above,ข้างบน,khangbon
downstairs,ข้างล่าง,khanglang
forward,ข้างหน้า,khangna
cross,ข้าม,kham
across,ข้าม,kham
rice,ข้าว,khao
constant,คงที่,khongthi
consistent,คงเส้นคงวา,khongsenkhongwa
board,คณะกรรมการ,khanakammakan
commission,คณะกรรมาธิการ,khanakammathikan
mathematics,คณิตศาสตร์,khanitsat
people,คน,khon
person,คน,khon
driver,คนขับรถ,khonkhaprot
servant,คนรับใช้,khonrapchai
alone,คนเดียว,khondiao
stranger,คนแปลกหน้า,khonplaekna
sharp,คม,khom
due,ครบกำหนด,khropkamnot
dominate,ครอง,khrong
family,ครอบครัว,khropkhrua
kitchen,ครัว,khrua
household,ครัวเรือน,khruaruean
once,ครั้งหนึ่ง,khrangnueng
cream,ครีม,khrim
half,ครึ่ง,khrueng
teacher,ครู,khru
stock,คลังสินค้า,khlangsinkha
classic,คลาสสิก,khlatsik
classical,คลาสสิก,khlatsik
click,คลิก,khlik
wave,คลื่น,khluen
flexible,คล่องตัว,khlongtua
active,คล่องแคล่ว,khlongkhlaeo
similar,คล้ายคลึงกัน,khlaikhluengkan
control,ควบคุม,khuapkhum
ought,ควร,khuan
should,ควร,khuan
smoke,ควัน,khwan
enthusiasm,ความกระตือรือร้น,khwamkratuerueron
courage,ความกล้าหาญ,khwamklahan
comedy,ความขบขัน,khwamkhopkhan
contrast,ความคมชัด,khwamkhomchat
similarity,ความคล้ายคลึงกัน,khwamkhlaikhluengkan
expectation,ความคาดหวัง,khwamkhatwang
thinking,ความคิด,khwamkhit
notion,ความคิด,khwamkhit
idea,ความคิด,khwamkhit
thought,ความคิด,khwamkhit
initiative,ความคิดริเริ่ม,khwamkhitriroem
creative,ความคิดสร้างสรรค์,khwamkhitsangsan
opinion,ความคิดเห็น,khwamkhithen
progress,ความคืบหน้า,khwamkhuepna
value,ความคุ้มค่า,khwamkhumkha
beauty,ความงาม,khwamngam
truth,ความจริง,khwamching
reality,ความจริง,khwamching
fact,ความจริง,khwamching
capacity,ความจุ,khwamchu
pressure,ความดัน,khwamdan
intention,ความตั้งใจ,khwamtangchai
death,ความตาย,khwamtai
stress,ความตึงเครียด,khwamtuengkhriat
excitement,ความตื่นเต้น,khwamtuenten
requirement,ความต้องการ,khwamtongkan
need,ความต้องการ,khwamtongkan
desire,ความต้องการ,khwamtongkan
demand,ความต้องการ,khwamtongkan
frequency,ความถี่,khwamthi
ambition,ความทะเยอทะยาน,khwamthayoethayan
popularity,ความนิยม,khwamniyom
horror,ความน่ากลัว,khwamnaklua
entertain,ความบันเทิง,khwambanthoeng
impression,ความประทับใจ,khwamprathapchai
conduct,ความประพฤติ,khwampraphriti
security,ความปลอดภัย,khwamplotphai
safety,ความปลอดภัย,khwamplotphai
joy,ความปิติยินดี,khwampitiyindi
fault,ความผิด,khwamphit
error,ความผิดพลาด,khwamphitphlat
effort,ความพยายาม,khwamphayayam
satisfied,ความพึงพอใจ,khwamphuengphochai
defeat,ความพ่ายแพ้,khwamphaiphae
wealth,ความมั่งคั่ง,khwammangkhang
confidence,ความมั่นใจ,khwammanchai
commitment,ความมุ่งมั่น,khwammungman
difficulty,ความยาก,khwamyak
poverty,ความยากจน,khwamyakchon
length,ความยาว,khwamyao
justice,ความยุติธรรม,khwamyutitham
mess,ความยุ่งเหยิง,khwamyungyoeng
responsibility,ความรับผิดชอบ,khwamrapphitchop
violence,ความรุนแรง,khwamrunraeng
knowledge,ความรู้,khwamru
feeling,ความรู้สึก,khwamrusuek
sense,ความรู้สึก,khwamrusuek
heat,ความร้อน,khwamron
secret,ความลับ,khwamlap
depth,ความลึก,khwamluek
mystery,ความลึกลับ,khwamlueklap
delay,ความล่าช้า,khwamlacha
failure,ความล้มเหลว,khwamlomleo
peace,ความสงบ,khwamsa-ngop
attention,ความสนใจ,khwamsonchai
comfort,ความสบายใจ,khwamsabaichai
relation,ความสัมพันธ์,khwamsamphan
relationship,ความสัมพันธ์,khwamsamphan
ability,ความสามารถ,khwamsamat
skill,ความสามารถ,khwamsamat
talent,ความสามารถพิเศษ,khwamsamatthiset
emphasis,ความสำคัญ,khwamsamkhan
importance,ความสำคัญ,khwamsamkhan
achievement,ความสำเร็จ,khwamsamret
success,ความสำเร็จ,khwamsamret
happiness,ความสุข,khwamsuk
pleasure,ความสุข,khwamsuk
height,ความสูง,khwamsung
meaning,ความหมาย,khwammai
variety,ความหลากหลาย,khwamlaklai
hope,ความหวัง,khwamwang
shame,ความอัปยศ,khwam-apayot
plenty,ความอุดมสมบูรณ์,khwam-udomsombun
weakness,ความอ่อนแอ,khwam-on-ae
understanding,ความเข้าใจ,khwamkhaochai
silence,ความเงียบ,khwamngiap
pain,ความเจ็บปวด,khwamcheppuat
belief,ความเชื่อ,khwamchuea
faith,ความเชื่อ,khwamchuea
leadership,ความเป็นผู้นำ,khwampenphunam
privacy,ความเป็นส่วนตัว,khwampensuantua
being,ความเป็นอยู่,khwampenyu
possibility,ความเป็นไปได้,khwampenbaidai
speed,ความเร็ว,khwamreo
injury,ความเสียหาย,khwamsiahai
damage,ความเสียหาย,khwamsiahai
sympathy,ความเห็นอกเห็นใจ,khwamhenokhenchai
strength,ความแข็งแรง,khwamkhaengraeng
anger,ความโกรธ,khwamkrot
relief,ความโล่งอก,khwamlo-ngok
Advantage,ความได้เปรียบ,khwamdaipriap
grab,คว้า,khwa
neck,คอ,kho
concert,คอนเสิร์ต,khonsoet
computer,คอมพิวเตอร์,khomphiotoe
column,คอลัมน์,kholam
score,คะแนน,khanaen
prediction,คาดการณ์,khatkan
expect,คาดหวัง,khatwang
cafe,คาเฟ่,khafe
word,คำ,kham
response,คำตอบ,khamtop
question,คำถาม,khamtham
calculate,คำนวณ,khamnuan
Noun,คำนาม,khamnam
definition,คำนิยาม,khamniyam
regard,คำนึงถึง,khamnuengthueng
lecture,คำบรรยาย,khambanyai
promise,คำมั่นสัญญา,khammansanya
criticism,คำวิจารณ์,khamwichan
finding,คำวินิจฉัย,khamwinitchai
command,คำสั่ง,khamsang
explanation,คำอธิบาย,kham-athibai
quotation,คำอ้างอิง,kham-ang-ing
invitation,คำเชิญ,khamchoen
warning,คำเตือน,khamtuean
instruction,คำแนะนำ,khamnaenam
Advice,คำแนะนำ,khamnaenam
statement,คำให้การ,khamhaikan
think,คิด,khit
invent,คิดค้น,khitkhon
comment,คิดเห็น,khithen
queue,คิว,khio
tonight,คืนนี้,khuenni
prison,คุก,khuk
you,คุณ,khun
moral,คุณธรรม,khuntham
grandfather,คุณปู่,khunpu
quality,คุณภาพ,khunphap
property,คุณสมบัติ,khunsombat
qualification,คุณสมบัติ,khunsombat
doctor,คุณหมอ,khunmo
familiar,คุ้นเคย,khunkhoei
worth,คุ้มค่า,khumkha
multiply,คูณ,khun
couple,คู่,khu
pair,คู่,khu
twin,คู่,khu
guide,คู่มือ,khumue
opponent,คู่แข่ง,khukhaeng
competitor,คู่แข่ง,khukhaeng
somewhat,ค่อนข้าง,khonkhang
rather,ค่อนข้าง,khonkhang
gradually,ค่อยๆ,khoyo
neither,ค่า,kha
wage,ค่าจ้าง,khachang
fee,ค่าธรรมเนียม,khathamniam
camp,ค่าย,khai
mean,ค่าเฉลี่ย,khachalia
charge,ค่าใช้จ่าย,khachaichai
expense,ค่าใช้จ่าย,khachaichai
discover,ค้นพบ,khonphop
search,ค้นหา,khonha
trade,ค้า,kha
murder,ฆาตกรรม,khatkam
kill,ฆ่า,kha
budget,งบ,ngop
task,งาน,ngan
work,งาน,ngan
job,งาน,ngan
hobby,งานอดิเรก,ngan-adirek
celebration,งานเฉลิมฉลอง,nganchaloemchalong
festival,งานเทศกาล,nganthetkan
wedding,งานแต่งงาน,ngantaengngan
exhibition,งานแสดงนิทรรศการ,ngansadaengnithatsakan
snake,งู,ngu
easy,ง่าย,ngai
simple,ง่าย,ngai
simply,ง่ายดาย,ngaidai
deliberately,จงใจ,chongchai
letter,จดหมาย,chotmai
until,จนกระทั่ง,chankrathang
till,จนถึง,chonthueng
graduate,จบการศึกษา,chopkansueksa
sink,จม,chom
nose,จมูก,chamuk
indeed,จริง,ching
real,จริง,ching
serious,จริงจัง,chingchang
sincere,จริงใจ,chingchai
really,จริงๆ,chingo
screen,จอภาพ,chophap
will,จะ,cha
shall,จะต้อง,chatong
bike,จักรยาน,chakkrayan
universe,จักรวาล,chakkrawan
rhythm,จังหวะ,changwa
organized,จัด,chat
manage,จัดการ,chatkan
deal,จัดการ,chatkan
organize,จัดระเบียบ,chatrabiap
priority,จัดลำดับความสำคัญ,chatlamdapkhwamsamkhan
appropriate,จัดสรร,chatsan
supply,จัดหา,chatha
catch,จับ,chap
arrest,จับกุม,chapkum
from,จาก,chak
dish,จาน,chan
plate,จาน,chan
disc,จาน,chan
remember,จำ,cham
recall,จำ,cham
limit,จำกัด,chamkat
amount,จำนวน,chamnuan
number,จำนวน,chamnuan
lot,จำนวนมาก,chamnuanmak
many,จำนวนมาก,chamnuanmak
vital,จำเป็น,champen
necessary,จำเป็น,champen
require,จำเป็นต้อง,champentong
painter,จิตรกร,chittrakon
painting,จิตรกรรม,chittrakam
soul,จิตวิญญาณ,chittawinyan
psychology,จิตวิทยา,chittiwitthaya
imagination,จินตนาการ,chintanakan
imagine,จินตนาการ,chintanakan
spot,จุด,chut
point,จุด,chut
aim,จุดมุ่งหมาย,chutmungmai
beginning,จุดเริ่มต้น,chutroemton
kiss,จูบ,chup
afford,จ่าย,chai
stare,จ้อง,chong
hire,จ้าง,chang
employ,จ้าง,chang
edition,ฉบับ,chabap
celebrate,ฉลอง,chalong
label,ฉลาก,chalak
clever,ฉลาด,chalat
wise,ฉลาด,chalat
smart,ฉลาด,chalat
intelligent,ฉลาด,chalat
sudden,ฉับพลัน,chapphlan
scene,ฉาก,chak
crash,ชน,chon
minority,ชนกลุ่มน้อย,chonklumnoi
rural,ชนบท,chonbot
countryside,ชนบท,chonbot
win,ชนะ,chana
type,ชนิด,chanit
kind(type),ชนิด (ชนิด),chanit botchanit
kind(caring),ชนิด (ดูแล),chanit phadulae
prefer,ชอบ,chop
persuade,ชักชวน,chakchuan
clear,ชัดเจน,chatchen
definite,ชัดเจน,chatchen
obvious,ชัดเจน,chatchen
