Eng,Th,Romanized
widely,อย่างกว้างขวาง,yangkwangkhwang
easily,อย่างง่ายดาย,yangngaidai
seriously,อย่างจริงจัง,yangchingchang
necessarily,อย่างจำเป็น,yangchampen
obviously,อย่างชัดเจน,yangchatchen
properly,อย่างถูกต้อง,yangthuktong
commonly,อย่างธรรมดา,yangthammada
extremely,อย่างมาก,yangmak
highly,อย่างมาก,yangmak
significantly,อย่างมีความหมาย,yangmikhwammai
quickly,อย่างรวดเร็ว,yangruatreo
rapidly,อย่างรวดเร็ว,yangruatreo
perfectly,อย่างสมบูรณ์,yangsombun
completely,อย่างสมบูรณ์,yangsombun
constantly,อย่างสม่ำเสมอ,yangsamsamoe
entirely,อย่างสิ้นเชิง,yangsinchoeng
such,อย่างเช่น,yangchen
fully,อย่างเต็มที่,yangtemthi
fairly,อย่างเป็นธรรม,yangpentham
clearly,อย่างเห็นได้ชัด,yanghendaichat
truly,อย่างแท้จริง,yangthaeching
certainly,อย่างแน่นอน,yangnaenon
surely,อย่างแน่นอน,yangnaenon
exactly,อย่างแน่นอน,yangnaenon
definitely,อย่างแน่นอน,yangnaenon
absolutely,อย่างแน่นอน,yangnaenon
closely,อย่างใกล้ชิด,yangklaichit
how,อย่างไร,yangrai
however,อย่างไรก็ตาม,yangraikotam
anyway,อย่างไรก็ตาม,yangraikotam
delicious,อร่อย,oi
organ,อวัยวะ,awaiwa
out,ออก,ok
leave,ออกจาก,okchak
emerge,ออกมา,okma
broadcast,ออกอากาศ,ok-akat
pronounce,ออกเสียง,oksiang
design,ออกแบบ,okbaep
online,ออนไลน์,onlai
what,อะไร,arai
whatever,อะไรก็ตาม,araikotam
danger,อันตราย,antrai
risk,อันตราย,antrai
harm,อันตราย,antrai
album,อัลบั้ม,anbam
ah,อา,a
symptom,อาการ,akan
headache,อาการปวดหัว,akanpuathua
air,อากาศ,akat
aircraft,อากาศยาน,akatyan
building,อาคาร,akhan
possibly,อาจ,at
May,อาจ,at
probably,อาจ,at
maybe,อาจจะ,atcha
instructor,อาจารย์ผู้สอน,achanphuson
might modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
may modal,อาจเป็นกิริยาช่วย,atpenkiriyachuai
criminal,อาชญากร,atyakon
crime,อาชญากรรม,atyakam
career,อาชีพ,achip
profession,อาชีพ,achip
shy,อาย,ai
age,อายุ,ayu
emotional,อารมณ์,arom
emotion,อารมณ์,arom
mood,อารมณ์,arom
humour,อารมณ์ขัน,aromkhan
upset,อารมณ์เสีย,aromsia
armed,อาวุธ,awut
weapon,อาวุธ,awut
arms,อาวุธ,awut
volunteer,อาสาสมัคร,asasamakkhon
feed,อาหาร,ahan
food,อาหาร,ahan
meal,อาหาร,ahan
diet,อาหาร,ahan
lunch,อาหารกลางวัน,ahanklangwan
breakfast,อาหารเช้า,ahanchao
dinner,อาหารเย็น,ahanyen
authority,อำนาจ,amnat
power,อำนาจ,amnat
district,อำเภอ,amphoe
internet,อินเทอร์เน็ต,inthoenet
independent,อิสระ,isara
electronic,อิเล็กทรอนิกส์,ilekthon-anik
again,อีกครั้ง,ikkhrang
mail,อีเมล,imen
email,อีเมล,imen
uncomfortable,อึดอัด,uet-at
embarrassed,อึดอัดใจ,uet-atchai
else,อื่น,uen
another,อื่น,uen
other,อื่น ๆ,uen wo
temperature,อุณหภูมิ,unhum
industry,อุตสาหกรรม,utsahakam
appeal,อุทธรณ์,utthon
incident,อุบัติการณ์,ubatikan
accident,อุบัติเหตุ,ubathet
equipment,อุปกรณ์,upakon
barrier,อุปสรรค,upsak
tunnel,อุโมงค์,umong
mild,อ่อน,on
soft,อ่อนนุ่ม,onnum
weak,อ่อนแอ,on-ae
gentle,อ่อนโยน,onyon
read,อ่าน,an
fat,อ้วน,uan
refer,อ้างถึง,angthueng
cite,อ้างอิง,ang-ing
quote,อ้างอิง,ang-ing
hockey,ฮอกกี้,hokki
criterion,เกณฑ์,ken
game,เกม,kem
afraid,เกรงกลัว,krengklua
grade,เกรด,kret
hate,เกลียด,kliat
salt,เกลือ,kluea
retire,เกษียณอายุ,kasian-ayu
island,เกาะ,ko
born,เกิด,koet
arise,เกิดขึ้น,koetkhuen
happen,เกิดขึ้น,koetkhuen
occur,เกิดขึ้น,koetkhuen
react,เกิดปฏิกิริยา,koetpatikiriya
beyond,เกิน,koen
over,เกิน,koen
too,เกินไป,koenpai
honour,เกียรติ,kiat
about,เกี่ยวกับ,kiaokap
educational,เกี่ยวกับการศึกษา,kiaokapkansueksa
connected,เกี่ยวข้อง,kiaokhong
nearly,เกือบ,kueap
almost,เกือบจะ,kueapcha
store,เก็บ,kep
collect,เก็บ,kep
keep,เก็บ,kep
maintain,เก็บรักษา,kepraksa
old,เก่า,kao
nine,เก้า,kao
ninety,เก้าสิบ,kaosip
chair,เก้าอี้,kao-i
county,เขต,khet
tropical,เขตร้อน,khetron
he,เขา,khao
him,เขา,khao
written,เขียน,khian
write,เขียน,khian
needle,เข็ม,khem
belt,เข็มขัด,khemkhat
knee,เข่า,khao
intense,เข้มข้น,khemkhon
strict,เข้มงวด,khemnguat
stay,เข้าพัก,khaophak
attend,เข้าร่วม,khaoruam
enter,เข้าสู่,khaosu
approach,เข้าใกล้,khaoklai
understand,เข้าใจ,khaochai
access,เข้าไป,khaopai
into,เข้าไป,khaopai
chemistry,เคมี,khemi
ever,เคย,khoei
used to,เคย,khoei
credit,เครดิต,khredit
network,เครือข่าย,khrueakhai
device,เครื่อง,khrueang
machine,เครื่อง,khrueang
instrument,เครื่องดนตรี,khrueangdontri
heating,เครื่องทำความร้อน,khrueangthamkhwamron
plane,เครื่องบิน,khrueangbin
decoration,เครื่องประดับ,khrueangpradap
printer,เครื่องพิมพ์,khrueangphim
tool,เครื่องมือ,khrueangmue
engine,เครื่องยนต์,khrueangyon
motor,เครื่องยนต์,khrueangyon
mark,เครื่องหมาย,khrueangmai
jewellery,เครื่องเพชรพลอย,khrueangphetphloi
religious,เคร่งศาสนา,khrengsatsana
trick,เคล็ดลับ,khletlap
desk,เคาน์เตอร์,khaotoe
respect,เคารพ,khaorop
knock,เคาะ,khao
cake,เค้ก,khek
outline,เค้าโครง,khaokhrong
shadow,เงา,ngao
penny,เงิน,ngoen
money,เงิน,ngoen
silver,เงิน,ngoen
loan,เงินกู้,ngoenku
currency,เงินตรา,ngoentra
pension,เงินบำนาญ,ngoenbamnan
cash,เงินสด,ngoensot
salary,เงินเดือน,ngoenduean
income,เงินได้,ngoendai
silent,เงียบ,ngiap
quiet,เงียบ,ngiap
quietly,เงียบ ๆ,ngiap wo
calm,เงียบสงบ,ngiapsa-ngop
peaceful,เงียบสงบ,ngiapsa-ngop
clue,เงื่อนงำ,ngueanngam
condition,เงื่อนไข,ngueankhai
grow,เจริญ,charoen
seven,เจ็ด,chet
seventy,เจ็ดสิบ,chetsip
hurt,เจ็บ,chep
painful,เจ็บปวด,cheppuat
lord,เจ้า,chao
owner,เจ้าของ,chaokhong
prince,เจ้าชาย,chaochai
master,เจ้านาย,chaonai
host,เจ้าภาพ,chaophap
bride,เจ้าสาว,chaosao
princess,เจ้าหญิง,chaoying
officer,เจ้าหน้าที่,chaonathi
specifically,เฉพาะ,chapho
gallery,เฉลียง,chaliang
average,เฉลี่ย,chalia
commercial,เชิงพาณิชย์,choengphanit
negative,เชิงลบ,choenglop
invite,เชิญ,choen
string,เชือก,chueak
rope,เชือก,chueak
believe,เชื่อ,chuea
obey,เชื่อฟัง,chueafang
chain,เชื่อมต่อ,chueamto
convinced,เชื่อว่า,chueawa
fuel,เชื้อเพลิง,chueaphloeng
as,เช่น,chen
like (find sb/sth pleasant),เช่น (พบ SB / ฏรื่นรมย์),chen phop ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap ro ap 
rent,เช่า,chao
cell,เซลล์,sen
session,เซสชั่น,setchan
guess,เดา,dao
walk,เดิน,doen
bet,เดิมพัน,doemphan
single,เดียว,diao
month,เดือน,duean
child,เด็ก,dek
kid,เด็ก,dek
boy,เด็กผู้ชาย,dekphuchai
apparently,เด่นชัด,denchat
prepare,เตรียมการ,triamkan
arrange,เตรียมการ,triamkan
kick,เตะ,te
cooker,เตา,tao
oven,เตาอบ,tao-op
fill,เติม,toem
bed,เตียง,tiang
remind,เตือน,tuean
warn,เตือน,tuean
tent,เต็นท์,ten
full,เต็ม,tem
willing,เต็มใจ,temchai
dance,เต้นรำ,tenram
breast,เต้านม,taonom
argue,เถียง,thiang
pour,เท,the
technique,เทคนิค,theknik
technology,เทคโนโลยี,theknoloiyi
tennis,เทนนิส,thennit
tape,เทป,thep
artificial,เทียม,thiam
midnight,เที่ยงคืน,thiangkhuen
flight,เที่ยวบิน,thiaobin
equal,เท่ากัน,thaokan
only,เท่านั้น,thaonan
foot,เท้า,thao
she,เธอ,thoe
her,เธอ,thoe
butter,เนย,noei
hill,เนินเขา,noenkhao
meat,เนื้อ,nuea
beef,เนื้อวัว,nueawua
content,เนื้อหา,nueaha
emphasize,เน้น,nen
petrol,เบนซิน,bensin
beer,เบียร์,bia
bored,เบื่อ,buea
compare,เปรียบเทียบ,priapthiap
flame,เปลวไฟ,pleofai
shift,เปลี่ยน,plian
change,เปลี่ยนแปลง,plianplaeng
shell,เปลือก,plueak
shine,เปล่งปลั่ง,plengplang
open,เปิด,poet
launch,เปิด,poet
expose,เปิดเผย,poetphoei
reveal,เปิดเผย,poetphoei
wet,เปียก,piak
piano,เปียโน,piano
be,เป็น,pen
belong,เป็นของ,penkhong
occasionally,เป็นครั้งคราว,penkhrangkhrao
first,เป็นครั้งแรก,penkhrangraek
original,เป็นต้นฉบับ,pentonchabap
formal,เป็นทางการ,penthangkan
official,เป็นทางการ,penthangkan
popular,เป็นที่นิยม,penthiniyom
naturally,เป็นธรรมชาติ,penthammachat
partly,เป็นบางส่วน,penbangsuan
typically,เป็นปกติ,penpokati
helpful,เป็นประโยชน์,penprayot
poisonous,เป็นพิษ,penphit
basically,เป็นพื้น,penphuen
human,เป็นมนุษย์,penmanut
friendly,เป็นมิตร,penmit
happily,เป็นสุข,pensuk
owe,เป็นหนี้,penni
harmful,เป็นอันตราย,pen-antrai
dangerous,เป็นอันตราย,pen-antrai
unique,เป็นเอกลักษณ์,pen-eklak
possible,เป็นไปได้,penbaidai
likely,เป็นไปได้,penbaidai
impossible,เป็นไปไม่ได้,penpaimaidai
target,เป้า,pao
goal,เป้าหมาย,paomai
burn,เผา,phao
diamond,เพชร,phet
ceiling,เพดาน,phedan
because,เพราะ,phro
music,เพลง,phleng
song,เพลง,phleng
rock (music),เพลงร็อค),phlengrokha
sex,เพศ,phet
add,เพิ่ม,phoem
increase,เพิ่มขึ้น,phoemkhuen
additional,เพิ่มเติม,phoemtoem
friend,เพื่อน,phuean
neighbour,เพื่อนบ้าน,phueanban
colleague,เพื่อนร่วมงาน,phueanruamngan
furniture,เฟอร์นิเจอร์,foenichoe
cloud,เมฆ,mek
metre,เมตร,met
menu,เมนู,menu
grain,เมล็ดข้าว,meletkhao
seed,เมล็ดพันธุ์,meletphan
April,เมษายน,mesayon
drunk,เมา,mao
city,เมือง,mueang
capital,เมืองหลวง,mueangluang
upon,เมื่อ,muea
yesterday,เมื่อวาน,mueawan
recent,เมื่อเร็ว ๆ นี้,mueareo ni
recently,เมื่อเร็ว ๆ นี้,mueareo ni
whenever,เมื่อไรก็ตาม,muearaikotam
when,เมื่อไหร่,muearai
mouse,เม้าส์,mao
visit,เยือน,yuean
cool,เย็น,yen
cold,เย็น,yen
us,เรา,rao
we,เรา,rao
begin,เริ่ม,roem
start,เริ่มต้น,roemton
essay,เรียงความ,riangkhwam
learn,เรียน,rian
smooth,เรียบ,riap
neat,เรียบร้อย,riaproi
tidy,เรียบร้อย,riaproi
boat,เรือ,ruea
ship,เรือ,ruea
affair,เรื่อง,rueang
matter,เรื่อง,rueang
subject,เรื่อง,rueang
joke,เรื่องตลก,rueangtalok
story,เรื่องราว,rueangrao
fiction,เรื่องอ่านเล่น,rueang-anlen
maths,เลข,lek
secretary,เลขานุการ,lekhanukan
quit,เลิก,loek
pick,เลือก,lueak
choose,เลือก,lueak
select,เลือก,lueak
blood,เลือด,lueat
small,เล็ก,lek
slightly,เล็กน้อย,leknoi
slight,เล็กน้อย,leknoi
nail,เล็บ,lep
play,เล่น,len
platform,เวที,wethi
stage,เวที,wethi
time,เวลา,wela
web,เว็บ,wep
website,เว็บไซต์,wepsai
site,เว็บไซต์,wepsai
unless,เว้นแต่,wentae
economic,เศรษฐกิจ,setthakit
economy,เศรษฐกิจ,setthakit
sadly,เศร้า,sao
strongly,เสถียร,sathian
propose,เสนอ,sanoe
submit,เสนอ,sanoe
offer,เสนอ,sanoe
attraction,เสน่ห์,sane
always,เสมอ,samoe
virtual,เสมือน,samuean
freedom,เสรีภาพ,seriphap
finish,เสร็จสิ้น,setsin
post,เสา,sao
broken,เสีย,sia
sound,เสียง,siang
voice,เสียงพูด,siangphut
shout,เสียงร้อง,siangrong
laughter,เสียงหัวเราะ,sianghuaro
sad,เสียใจ,siachai
regret,เสียใจ,siachai
sweater,เสื้อกันหนาว,sueakannao
clothing,เสื้อผ้า,sueapha
clothes,เสื้อผ้า,sueapha
T-shirt,เสื้อยืดคอกลม,sueayuetkhoklom
shirt,เสื้อเชิ้ต,sueachoet
coat,เสื้อโค้ท,sueakhot
path,เส้นทาง,senthang
route,เส้นทาง,senthang
nerve,เส้นประสาท,senprasat
curve,เส้นโค้ง,senkhong
event,เหตุการณ์,hetkan
reason,เหตุผล,hetphon
sticky,เหนียว,niao
tired,เหนื่อย,nueai
proper,เหมาะสม,mosom
decent,เหมาะสม,mosom
suitable,เหมาะสม,mosom
like (similar),เหมือน (คล้าย),muean phakhlai
same,เหมือนกัน,mueankan
uniform,เหมือนกัน,mueankan
similarly,เหมือนกับ,mueankap
realistic,เหมือนจริง,mueanching
victim,เหยื่อ,yuea
coin,เหรียญ,rian
incredible,เหลือเชื่อ,lueachuea
incredibly,เหลือเชื่อ,lueachuea
steel,เหล็ก,lek
iron,เหล็ก,lek
apparent,เห็นได้ชัด,hendaichat
private,เอกชน,ekkhon
identity,เอกลักษณ์,eklak
document,เอกสาร,eksan
take,เอา,ao
conclude,เอาเป็นว่า,aopenwa
helicopter,เฮลิคอปเตอร์,lekhopaooe
hey,เฮ้,he
expensive,เเพง,pheng
core,แกน,kaen
pretend,แกล้งทำ,klaengtham
sheep,แกะ,kae
solve,แก้,kae
fix,แก้ไข,kaekhai
edit,แก้ไข,kaekhai
resolve,แก้ไข,kaekhai
correct,แก้ไข,kaekhai
alter,แก้ไข,kaekhai
fixed,แก้ไขแล้ว,kaekhlaeo
revise,แก้ไขใหม่,kaekhaimai
gang,แก๊ง,kaeng
gas,แก๊ส,kaet
guest,แขก,khaek
arm,แขน,khaen
hang,แขวน,khwaen
stiff,แข็ง,khaeng
freeze,แข็ง,khaeng
strong,แข็งแรง,khaengraeng
healthy,แข็งแรง,khaengraeng
compete,แข่งขัน,khaengkhan
narrow,แคบ,khaep
camping,แคมป์ปิ้ง,khaemping
carrot,แครอท,khraet
just,แค่,khae
aspect,แง่มุม,ngaemum
jacket,แจ็คเก็ต,chaekket
inform,แจ้ง,chaeng
notice,แจ้งให้ทราบ,chaenghaisap
jazz,แจ๊ส,chaet
champion,แชมป์,chaem
frozen,แช่แข็ง,chaekhaeng
sandwich,แซนด์วิช,saenwit
unlike,แตกต่าง,taektang
vary,แตกต่าง,taektang
but,แต่,tae
marry,แต่งงาน,taengngan
married,แต่งงาน,taengngan
dressed,แต่งตัว,taengtua
dress,แต่งตัว,taengtua
make,แต่งหน้า,taengna
nevertheless,แต่ถึงอย่างไร,taethuengyangrai
whereas,แต่ทว่า,taethawa
each,แต่ละ,taela
originally,แต่เดิม,taedoem
row,แถว,thaeo
represent,แทน,thaen
instead,แทน,thaen
replace,แทนที่,thaenthi
hardly,แทบจะไม่,thaepchamai
tablet,แท็บเล็ต,thaeplet
actually,แท้จริง,thaeching
attach,แนบ,naep
concept,แนวคิด,naeokhit
trend,แนวโน้ม,naeonom
introduce,แนะนำ,nanam
recommend,แนะนำ,nanam
suggest,แนะนำ,nanam
tight,แน่น,naen
exact,แน่นอน,naenon
absolute,แน่นอน,naenon
certain,แน่นอน,naenon
sure,แน่ใจ,naechai
bacteria,แบคทีเรีย,baekthiria
battery,แบตเตอรี่,baettoeri
flat,แบน,baen
model,แบบ,baep
traditional,แบบดั้งเดิม,baepdangdoem
form,แบบฟอร์ม,baepfom
pattern,แบบแผน,baepphaen
eight,แปด,paet
eighty,แปดสิบ,paetsip
brush,แปรง,praeng
odd,แปลก,plaek
strange,แปลก,plaek
surprise,แปลกใจ,plaekchai
convert,แปลง,plaeng
transform,แปลง,plaeng
translate,แปลภาษา,plaephasa
flour,แป้ง,paeng
keyboard,แป้นพิมพ์,paenphim
panel,แผงหน้าปัด,phaengnapat
division,แผนก,phaenek
reception,แผนกต้อนรับ,phaenktonrap
map,แผนที่,phaenthi
diagram,แผนภาพ,phaenphap
chart,แผนภูมิ,phaenphum
sheet,แผ่น,phaen
earthquake,แผ่นดินไหว,phaendinwai
pack,แพ็ค,phaek
lose,แพ้,phae
fashion,แฟชั่น,faechan
boyfriend,แฟน,faen
fan,แฟน,faen
girlfriend,แฟน,faen
fancy,แฟนซี,faensi
flash,แฟลช,flaet
spider,แมงมุม,maengmum
insect,แมลง,maleng
cat,แมว,maeo
mother,แม่,mae
mum,แม่,mae
river,แม่น้ำ,maenam
even,แม้,mae
though,แม้,mae
despite,แม้จะมี,maechami
although,แม้ว่า,maeo
split,แยก,yaek
separate,แยก,yaek
identify,แยกแยะ,yaekyae
jam,แยม,yaem
worst,แย่ที่สุด,yaethisut
worse,แย่ลง,yaelong
initial,แรกเริ่ม,raekroem
labour,แรงงาน,raengngan
passion,แรงผลักดัน,raengphlakdan
mineral,แร่,rae
exchange,แลกเปลี่ยน,laekplian
and,และ,lae
laptop,แล็ปท็อป,laepthop
sail,แล่นเรือ,laenruea
already,แล้ว,laeo
then,แล้วก็,laeoko
light (from the sun/a lamp),แสง (จากดวงอาทิตย์ / หลอดไฟ),saeng phachakduang-athitpai
light (not heavy),แสง (ไม่หนัก),saeng phamainak
solar,แสงอาทิตย์,saeng-athit
show,แสดง,sadang
illustrate,แสดง,sadang
indicate,แสดง,sadang
display,แสดง,sadang
justify,แสดงให้เห็นถึง,sadaenghaihenthueng
seek,แสวงหา,sawaengha
pointed,แหลม,laem
source,แหล่ง,laeng
ring,แหวน,waen
ring,แหวน,waen
venue,แห่ง,haeng
national,แห่งชาติ,haengchat
dry,แห้ง,haeng
app,แอป,aep
apple,แอปเปิ้ล,aeppoen
alcohol,แอลกอฮอล์,aelkoho
crowded,แออัด,ae-at
Advance,แอ็ดวานซ์,aetwan
cheat,โกง,kong
angry,โกรธ,krot
lie,โกหก,kohok
lie,โกหก,kohok
lamp,โคมไฟ,khomfai
project,โครงการ,khrongkan
scheme,โครงการ,khrongkan
structure,โครงสร้าง,khrongsang
mud,โคลน,khlon
bend,โค้ง,khong
curved,โค้ง,khong
coach,โค้ช,khot
Advertise,โฆษณา,khosana
silly,โง่,ngo
stupid,โง่,ngo
strike,โจมตี,chomti
attack,โจมตี,chomti
luck,โชค,chok
fortunately,โชคดี,chokdi
lucky,โชคดี,chokdi
fortune,โชคลาภ,choklap
zone,โซน,son
lonely,โดดเดี่ยว,dotdiao
by,โดย,doi
directly,โดยตรง,doitrong
direct,โดยตรง,doitrong
generally,โดยทั่วไป,doithuapai
natural,โดยธรรมชาติ,doithammachat
totally,โดยสิ้นเชิง,doisinchoeng
specific,โดยเฉพาะ,doichapho
particular,โดยเฉพาะ,doichapho
particularly,โดยเฉพาะ,doichapho
especially,โดยเฉพาะอย่างยิ่ง,doichaphoyangying
tone,โทน,thon
call,โทร,thon
TV,โทรทัศน์,thorathat
television,โทรทัศน์,thorathat
phone,โทรศัพท์,thorasap
telephone,โทรศัพท์,thorasap
mobile,โทรศัพท์มือถือ,thorasapmuethue
convince,โน้มน้าวใจ,nomnaochai
ancient,โบราณ,boran
church,โบสถ์,bot
favour,โปรดปราน,protpran
programme,โปรแกรม,prokraem
program,โปรแกรม,prokraem
poster,โปสเตอร์,posatoe
focus,โฟกัส,fokat
o’clock,โมง,mong
throw,โยน,yon
disease,โรค,rok
cancer,โรคมะเร็ง,rokmareng
factory,โรงงาน,rongngan
hospital,โรงพยาบาล,rongphayaban
cinema,โรงภาพยนตร์,rongphapphayon
garage,โรงรถ,rongrot
theatre,โรงละคร,ronglakhon
school,โรงเรียน,rongrian
hotel,โรงแรม,rongraem
romantic,โรแมนติก,romaentik
earth,โลก,lok
world,โลก,lok
metal,โลหะ,loha
cruel,โหดร้าย,hotrai
dozen,โหล,lo
vote,โหวต,hot
opportunity,โอกาส,okat
chance,โอกาส,okat
prospect,โอกาส,okat
occasion,โอกาส,okat
transfer,โอน,on
oh,โอ้,o
near,ใกล้,klai
whom,ใคร,khrai
whose,ใคร,khrai
anybody,ใคร ๆ,khrai  si
anyone,ใคร ๆ,khrai  si
mind,ใจ,chai
generous,ใจกว้าง,chaikwang
impatient,ใจร้อน,chairon
yes,ใช่,chai
yeah,ใช่,chai
use,ใช้,chai
used,ใช้,chai
apply,ใช้,chai
spend,ใช้จ่าย,chaichai
available,ใช้ได้,chaidai
any,ใด,dai
any more,ใด ๆ เพิ่มเติม,dai  choemtoem
underground,ใต้ดิน,taidin
in,ใน,nai
while,ในขณะที่,naikhanathi
meanwhile,ในขณะเดียวกัน,naikhanadiaokan
initially,ในขั้นต้น,naikhanton
abroad,ในต่างประเทศ,naitangprathet
political,ในทางการเมือง,naithangkanmueang
eventually,ในที่สุด,naithisut
ultimately,ในที่สุด,naithisut
finally,ในที่สุด,naithisut
indoors,ในบ้าน,naiban
secondly,ในประการที่สอง,naiprakanthisong
domestic,ในประเทศ,naiprathet
local,ในประเทศ,naiprathet
during,ในระหว่าง,nairawang
indoor,ในร่ม,nairom
today,ในวันนี้,naiwanni
among,ในหมู่,naimu
ideal,ในอุดมคติ,nai-udomkhati
urban,ในเมือง,naimueang
soon,ในไม่ช้า,naimaicha
application,ใบสมัคร,baisamakkhon
order,ใบสั่ง,baisang
face,ใบหน้า,baina
permit,ใบอนุญาต,bai-ununat
receipt,ใบเสร็จรับเงิน,baisetrapngoen
leaf,ใบไม้,baimai
put,ใส่,sai
huge,ใหญ่,yai
big,ใหญ่,yai
large,ใหญ่,yai
new,ใหม่,mai
provide,ให้,hai
give,ให้,hai
educate,ให้ความรู้,haikhwamru
chicken,ไก่,kai
egg,ไข่,khai
flu,ไข้หวัดใหญ่,khaiwatyai
diary,ไดอารี่,dai-ari
could,ได้,dai
hear,ได้ยิน,daiyin
gain,ได้รับ,dairap
obtain,ได้รับ,dairap
earn,ได้รับ,dairap
get,ได้รับ,dairap
injure,ได้รับบาดเจ็บ,dairapbatchep
correctly,ได้อย่างถูกต้อง,daiyangthuktong
go,ไป,pai
away,ไป,pai
towards,ไปทาง,paithang
onto,ไปยัง,paiyang
fire,ไฟ,fai
electrical,ไฟฟ้า,faifa
electric,ไฟฟ้า,faifa
electricity,ไฟฟ้า,faifa
file,ไฟล์,fai
mile,ไมล์,mai
not,ไม่,mai
nor,ไม่,mai
no,ไม่,mai
unexpected,ไม่คาดฝัน,maikhatfan
unnecessary,ไม่จำเป็น,maichampen
dislike,ไม่ชอบ,maichop
bad,ไม่ดี,maidi
badly,ไม่ดี,maidi
wrong,ไม่ถูกต้อง,maithuktong
unknown,ไม่ทราบ,maisap
lack,ไม่มี,maimi
none,ไม่มี,maimi
without,ไม่มี,maimi
unhappy,ไม่มีความสุข,maimikhwamsuk
nowhere,ไม่มีที่ไหนเลย,maimithihailoei
nothing,ไม่มีอะไร,maimi-arai
nobody,ไม่มีใคร,maimikhrai
no one,ไม่มีใคร,maimikhrai
unfair,ไม่ยุติธรรม,maiyutitham
busy,ไม่ว่าง,maiwang
ignore,ไม่สนใจ,maisonchai
unable,ไม่สามารถ,maisamat
dishonest,ไม่สุจริต,maisutcharit
never,ไม่เคย,maikhoei
informal,ไม่เป็นทางการ,maipenthangkan
unpleasant,ไม่เป็นที่พอใจ,maipenthiphochai
opposed,ไม่เห็นด้วย,maihenduai
disagree,ไม่เห็นด้วย,maihenduai
unlikely,ไม่แน่,mainae
cannot,ไม่ได้,maidai
unconscious,ไม่ได้สติ,maidaisati
wood,ไม้,mai
line,ไลน์,lai
pursue,ไล่ตาม,laitam
wine,ไวน์,wai
virus,ไวรัส,wairat
silk,ไหม,haimai
flow,ไหล,lai
shoulder,ไหล่,lai
ice cream,ไอศครีม,aitkhrim
highlight,ไฮไลท์,hailai
