Eng,Th
a,สระ
an,สระ
ability,ความสามารถ
about,เกี่ยวกับ
abroad,ในต่างประเทศ
absolutely,อย่างแน่นอน
accept,ยอมรับ
access,เข้าไป
accommodation,ที่พัก
according to,ตาม
accurate,ถูกต้อง
achieve,บรรลุ
acknowledge,รับทราบ
across,ข้าม
action,หนังบู๊
activity,กิจกรรม
actress,นักแสดงหญิง
actually,แท้จริง
adapt,ปรับ
addition,ส่วนที่เพิ่มเข้าไป
address,ที่อยู่
admire,ชื่นชม
adopt,นำมาใช้
Advance,แอ็ดวานซ์
Advantage,ความได้เปรียบ
Advertise,โฆษณา
Advertising,การโฆษณา
affair,เรื่อง
afford,จ่าย
after,หลังจาก
afterwards,ภายหลัง
against,ต่อต้าน
aged,มีอายุ
agenda,ระเบียบวาระการประชุม
aggressive,ก้าวร้าว
agree,ตกลง
ah,อา
aid,ช่วยเหลือ
air,อากาศ
airline,สายการบิน
alarm,สัญญาณเตือนภัย
alcohol,แอลกอฮอล์
alive,มีชีวิตอยู่
all right,ถูกต้อง
almost,เกือบจะ
along,ตาม
also,ด้วย
alternative,ทางเลือก
always,เสมอ
amazing,น่าอัศจรรย์
ambitious,ทะเยอทะยาน
amount,จำนวน
analysis,การวิเคราะห์
and,และ
angle,มุม
animal,สัตว์
anniversary,วันครบรอบ
announcement,การประกาศ
annoyed,รำคาญ
annual,ประจำปี
answer,ตอบ
any,ใด
any more,ใด ๆ เพิ่มเติม
anything,สิ่งใด
anywhere,ทุกแห่ง
apartment,อพาร์ทเม้น
app,แอป
apparently,เด่นชัด
appear,ปรากฏ
apple,แอปเปิ้ล
apply,ใช้
appreciate,ซาบซึ้ง
appropriate,จัดสรร
approve,อนุมัติ
April,เมษายน
architecture,สถาปัตยกรรม
argue,เถียง
arise,เกิดขึ้น
armed,อาวุธ
army,กองทัพบก
arrange,เตรียมการ
arrest,จับกุม
arrive,มาถึง
article,บทความ
artist,ศิลปิน
as,เช่น
asleep,นอนหลับ
aspect,แง่มุม
assessment,การประเมินผล
assist,ช่วยเหลือ
associate,ที่เกี่ยวข้อง
association,สมาคม
at,ที่
atmosphere,บรรยากาศ
attack,โจมตี
attend,เข้าร่วม
attitude,ท่าที
attraction,เสน่ห์
audience,ผู้ชม
aunt,ป้า
authority,อำนาจ
available,ใช้ได้
avoid,หลีกเลี่ยงการ
aware,ทราบ
awful,น่ากลัว
back,กลับ
backwards,ย้อนกลับ
bad,ไม่ดี
bag,ถุง
balance,สมดุล
ban,ห้าม
band,วงดนตรี
bank (river),ธนาคาร (แม่น้ำ)
barrier,อุปสรรค
baseball,กีฬาเบสบอล
basketball,บาสเกตบอล
basically,เป็นพื้น
bath,การอาบน้ำ
battery,แบตเตอรี่
be,เป็น
bean,ถั่ว
bear (animal),หมี (สัตว์)
beautiful,สวย
because,เพราะ
bed,เตียง
bee,ผึ้ง
beer,เบียร์
beg,ขอ
beginning,จุดเริ่มต้น
behaviour,พฤติกรรม
being,ความเป็นอยู่
believe,เชื่อ
belong,เป็นของ
belt,เข็มขัด
benefit,ประโยชน์
best,ดีที่สุด
better,ดีกว่า
beyond,เกิน
big,ใหญ่
bill,บิล
bin,ถัง
bird,นก
birthday,วันเกิด
bit,นิดหน่อย
bitter,ขม
blame,ตำหนิ
blind,ตาบอด
blog,บล็อก
blood,เลือด
blue,สีน้ำเงิน
boat,เรือ
boil,ต้ม
bond,พันธบัตร
book,หนังสือ
border,ชายแดน
boring,น่าเบื่อ
borrow,ยืม
both,ทั้งสอง
bottle,ขวด
bowl,ขัน
boy,เด็กผู้ชาย
brain,สมอง
brand,ยี่ห้อ
bread,ขนมปัง
breakfast,อาหารเช้า
breath,ลมหายใจ
breathing,การหายใจ
bridge,สะพาน
bright,สดใส
bring,นำมาซึ่ง
broadcast,ออกอากาศ
brother,พี่ชาย
brush,แปรง
budget,งบ
building,อาคาร
bunch,พวง
bury,ฝังศพ
bush,พุ่มไม้
businessman,นักธุรกิจ
but,แต่
button,ปุ่ม
by,โดย
cable,สายเคเบิล
cake,เค้ก
call,โทร
camera,กล้อง
campaign,รณรงค์
campus,วิทยาเขต
can2,Can2
cancer,โรคมะเร็ง
cannot,ไม่ได้
capable,สามารถ
capital,เมืองหลวง
capture,การจับกุม
card,บัตร
career,อาชีพ
carefully,รอบคอบ
carpet,พรม
carry,การพกพา
case,กรณี
cast,หล่อ
cat,แมว
category,ประเภท
CD,ซีดี
celebrate,ฉลอง
celebrity,ชื่อเสียง
cent,ร้อย
centre,ศูนย์
ceremony,พิธี
certainly,อย่างแน่นอน
chair,เก้าอี้
challenge,ท้าทาย
chance,โอกาส
channel,ช่อง
character,ตัวละคร
charge,ค่าใช้จ่าย
chart,แผนภูมิ
cheap,ถูก
check,ตรวจสอบ
cheerful,ร่าเริง
chemical,สารเคมี
chest,หน้าอก
chief,หัวหน้า
childhood,วัยเด็ก
chocolate,ช็อคโกแลต
choose,เลือก
cigarette,บุหรี่
circle,วงกลม
cite,อ้างอิง
city,เมือง
claim,ข้อเรียกร้อง
classic,คลาสสิก
classroom,ห้องเรียน
clean,สะอาด
clearly,อย่างเห็นได้ชัด
click,คลิก
climate,ภูมิอากาศ
clock,นาฬิกา
close2,close2
closely,อย่างใกล้ชิด
clothes,เสื้อผ้า
cloud,เมฆ
clue,เงื่อนงำ
coal,ถ่านหิน
coat,เสื้อโค้ท
coffee,กาแฟ
cold,เย็น
colleague,เพื่อนร่วมงาน
collection,ชุด
colour,สี
column,คอลัมน์
combine,รวมกัน
comedy,ความขบขัน
comfortable,สบาย
comment,คิดเห็น
commission,คณะกรรมาธิการ
commitment,ความมุ่งมั่น
common,ร่วมกัน
communicate,สื่อสาร
community,ชุมชน
compare,เปรียบเทียบ
compete,แข่งขัน
competitor,คู่แข่ง
complain,บ่น
complete,สมบูรณ์
complex,ซับซ้อน
component,ส่วนประกอบ
concentrate,สมาธิ
concept,แนวคิด
concerned,ที่เกี่ยวข้อง
conclude,เอาเป็นว่า
condition,เงื่อนไข
conference,การประชุม
confident,มั่นใจ
conflict,ขัดแย้ง
confused,สับสน
connect,การเชื่อมต่อ
connection,สัมพันธ์
consequence,ผลพวง
consider,พิจารณา
consist,ประกอบด้วย
constant,คงที่
construct,สร้าง
consume,บริโภค
contact,ติดต่อ
container,ภาชนะ
content,เนื้อหา
context,บริบท
continue,ต่อ
contract,สัญญา
contribute,สนับสนุน
control,ควบคุม
conversation,การสนทนา
convince,โน้มน้าวใจ
cook,ปรุงอาหาร
cooking,การปรุงอาหาร
copy,สำเนา
corner,มุม
correct,แก้ไข
cost,ราคา
cottage,กระท่อม
could,ได้
count,นับ
countryside,ชนบท
couple,คู่
course,หลักสูตร
cousin,ลูกพี่ลูกน้อง
covered,ปกคลุม
crash,ชน
cream,ครีม
creation,การสร้าง
creature,สัตว์
crew,พวกลูกเรือ
criminal,อาชญากร
criterion,เกณฑ์
critical,วิกฤติ
criticize,วิจารณ์
cross,ข้าม
crowded,แออัด
cruel,โหดร้าย
cultural,ด้านวัฒนธรรม
cup,ถ้วย
cure,รักษา
currency,เงินตรา
currently,ปัจจุบัน
curve,เส้นโค้ง
custom,กำหนดเอง
cut,ตัด
dad,พ่อ
damage,ความเสียหาย
dancer,นาฏ
danger,อันตราย
dark,มืด
date,วันที่
day,วัน
deal,จัดการ
death,ความตาย
debt,หนี้สิน
December,ธันวาคม
decide,ตัดสิน
declare,ประกาศ
decorate,ตกแต่ง
decrease,ลดลง
deeply,ลึก
defence,ป้องกัน
define,กำหนด
definitely,อย่างแน่นอน
degree,ระดับ
deliberate,พิจารณา
delicious,อร่อย
delighted,ยินดี
delivery,การจัดส่ง
demonstrate,สาธิต
deny,ปฏิเสธ
departure,การออกเดินทาง
depressed,หดหู่
depth,ความลึก
description,ลักษณะ
deserve,สมน้ำสมเนื้อ
designer,นักออกแบบ
desk,เคาน์เตอร์
despite,แม้จะมี
destroy,ทำลาย
detailed,รายละเอียด
detective,นักสืบ
determined,มุ่งมั่น
development,พัฒนาการ
diagram,แผนภาพ
diamond,เพชร
dictionary,พจนานุกรม
diet,อาหาร
different,ต่าง
difficult,ยาก
dig,ขุด
dinner,อาหารเย็น
direction,ทิศทาง
director,ผู้อำนวยการ
dirty,สกปรก
disagree,ไม่เห็นด้วย
disappointed,ผิดหวัง
disaster,ภัยพิบัติ
discipline,วินัย
discover,ค้นพบ
discuss,สนทนา
disease,โรค
dishonest,ไม่สุจริต
dismiss,ยกเลิก
distance,ระยะทาง
distribution,การกระจาย
divide,หาร
divorced,การหย่าร้าง
doctor,คุณหมอ
documentary,สารคดี
dollar,ดอลลาร์
dominate,ครอง
door,ประตู
doubt,สงสัย
download,ดาวน์โหลด
downwards,ลงต่ำ
draft,ร่าง
drama,ละคร
draw,วาด
dream,ฝัน
dressed,แต่งตัว
drive,ขับรถ
driving,การขับรถ
drug,ยา
drunk,เมา
due,ครบกำหนด
dust,ฝุ่น
DVD,ดีวีดี
ear,หู
earn,ได้รับ
earthquake,แผ่นดินไหว
east,ทางทิศตะวันออก
easy,ง่าย
economic,เศรษฐกิจ
edge,ขอบ
edition,ฉบับ
educate,ให้ความรู้
education,การศึกษา
effect,ผล
effectively,มีประสิทธิภาพ
effort,ความพยายาม
eight,แปด
eighty,แปดสิบ
elderly,สูงอายุ
election,การเลือกตั้ง
electrical,ไฟฟ้า
electronic,อิเล็กทรอนิกส์
elephant,ช้าง
else,อื่น
email,อีเมล
embarrassing,น่าอาย
emergency,กรณีฉุกเฉิน
emotional,อารมณ์
emphasize,เน้น
employee,ลูกจ้าง
employment,การจ้าง
enable,ทำให้สามารถ
encourage,ส่งเสริม
ending,สิ้นสุด
energy,พลังงาน
engaged,หมั้น
engineer,วิศวกร
enhance,ทำให้ดีขึ้น
enormous,มหาศาล
enquiry,การสอบสวน
enter,เข้าสู่
entertainment,การบันเทิง
enthusiastic,กระตือรือร้น
entirely,อย่างสิ้นเชิง
entry,การเข้า
environmental,สิ่งแวดล้อม
equal,เท่ากัน
equipment,อุปกรณ์
escape,หนี
essay,เรียงความ
establish,สร้าง
estimate,ประมาณการ
euro,ยูโร
even,แม้
event,เหตุการณ์
ever,เคย
everybody,ทุกคน
everyone,ทุกคน
everywhere,ทุกที่
evil,ชั่วร้าย
exactly,อย่างแน่นอน
examination,การตรวจสอบ
example,ตัวอย่าง
except,ยกเว้น
excited,ตื่นเต้น
exciting,น่าตื่นเต้น
executive,ฝ่ายบริหาร
exhibition,งานแสดงนิทรรศการ
existence,การดำรงอยู่
expect,คาดหวัง
expected,ที่คาดหวัง
expense,ค่าใช้จ่าย
experience,ประสบการณ์
experiment,การทดลอง
explain,อธิบาย
explode,ระเบิด
explore,สำรวจ
export,ส่งออก
express,ด่วน
extend,ต่ออายุ
external,ภายนอก
extraordinary,วิสามัญ
extremely,อย่างมาก
face,ใบหน้า
fact,ความจริง
factory,โรงงาน
failure,ความล้มเหลว
fairly,อย่างเป็นธรรม
fall,ตก
familiar,คุ้นเคย
famous,มีชื่อเสียง
fancy,แฟนซี
far,ห่างไกล
farmer,ชาวนา
fascinating,มโนหร
fashionable,ทันสมัย
fasten,ยึด
father,พ่อ
favour,โปรดปราน
fear,กลัว
feature,ลักษณะเฉพาะ
fee,ค่าธรรมเนียม
feedback,ข้อเสนอแนะ
feeling,ความรู้สึก
female,หญิง
festival,งานเทศกาล
fiction,เรื่องอ่านเล่น
fifteen,สิบห้า
fifty,ห้าสิบ
fighting,ศึก
file,ไฟล์
film,ฟิล์ม
finally,ในที่สุด
financial,การเงิน
finding,คำวินิจฉัย
finger,นิ้ว
fire,ไฟ
first,เป็นครั้งแรก
fish,ปลา
fit,พอดี
five,ห้า
fixed,แก้ไขแล้ว
flame,เปลวไฟ
flat,แบน
flight,เที่ยวบิน
flood,น้ำท่วม
flour,แป้ง
flower,ดอกไม้
fly,บิน
focus,โฟกัส
folding,พับได้
follow,ปฏิบัติตาม
food,อาหาร
football,ฟุตบอล
force,บังคับ
forest,ป่า
forget,ลืม
fork,ส้อม
formal,เป็นทางการ
fortunately,โชคดี
forty,สี่สิบ
found,พบ
fourteen,สิบสี่
frame,กรอบ
freedom,เสรีภาพ
frequency,ความถี่
fresh,สด
fridge,ตู้เย็น
friendly,เป็นมิตร
frighten,ขู่
frightening,น่ากลัว
from,จาก
frozen,แช่แข็ง
fry,ทอด
full,เต็ม
fun,สนุก
fund,กองทุน
funding,การระดมทุน
fur,ขน
further,ต่อไป
future,อนาคต
gallery,เฉลียง
gang,แก๊ง
garage,โรงรถ
gas,แก๊ส
gather,รวบรวม
generally,โดยทั่วไป
generation,รุ่น
genre,ประเภท
gentleman,สุภาพบุรุษ
get,ได้รับ
giant,ยักษ์
girl,สาว
give,ให้
glass,กระจก
glove,ถุงมือ
goal,เป้าหมาย
gold,ทอง
good,ดี
goods,สินค้า
government,รัฐบาล
grade,เกรด
graduate,จบการศึกษา
grand,ยิ่งใหญ่
grandmother,ยาย
grant,ทุน
grateful,กตัญญู
green,สีเขียว
grey,สีเทา
group,กลุ่ม
growth,การเจริญเติบโต
guard,ยาม
guest,แขก
guilty,รู้สึกผิด
gun,ปืน
gym,ยิม
hair,ผม
hall,ห้องโถง
handle,ด้ามจับ
happen,เกิดขึ้น
happiness,ความสุข
hard,ยาก
harm,อันตราย
hat,หมวก
have,มี
he,เขา
headache,อาการปวดหัว
health,สุขภาพ
hear,ได้ยิน
heart,หัวใจ
heating,เครื่องทำความร้อน
heavily,หนัก
heel,ส้น
helicopter,เฮลิคอปเตอร์
hello,สวัสดี
helpful,เป็นประโยชน์
here,ที่นี่
hers,ของเธอ
hesitate,ลังเล
hi,สวัสดี
high,สูง
highly,อย่างมาก
him,เขา
hire,จ้าง
historic,ประวัติศาสตร์
history,ประวัติศาสตร์
hobby,งานอดิเรก
hold,ถือ
holiday,วันหยุด
holy,ศักดิ์สิทธิ์
homework,การบ้าน
honour,เกียรติ
horrible,น่ากลัว
horse,ม้า
host,เจ้าภาพ
hotel,โรงแรม
house,บ้าน
housing,การเคหะ
however,อย่างไรก็ตาม
human,เป็นมนุษย์
humour,อารมณ์ขัน
hungry,หิว
hunting,การล่าสัตว์
hurry,รีบเร่ง
husband,สามี
ice,น้ำแข็ง
idea,ความคิด
identify,แยกแยะ
if,ถ้า
ill,ป่วย
illness,การเจ็บป่วย
illustration,ภาพประกอบ
imaginary,สมมุติขึ้น
imagine,จินตนาการ
immediately,ทันที
impact,ส่งผลกระทบ
imply,บ่งบอกถึง
importance,ความสำคัญ
impose,กำหนด
impress,ประทับใจ
impression,ความประทับใจ
improve,ทำให้ดีขึ้น
in,ใน
incident,อุบัติการณ์
included,ที่รวมอยู่
income,เงินได้
increasingly,ขึ้น
incredibly,เหลือเชื่อ
independent,อิสระ
indirect,ทางอ้อม
indoor,ในร่ม
industrial,ด้านอุตสาหกรรม
infection,การติดเชื้อ
inform,แจ้ง
information,ข้อมูล
initial,แรกเริ่ม
initiative,ความคิดริเริ่ม
injured,ที่ได้รับบาดเจ็บ
inner,ภายใน
insect,แมลง
insight,ข้อมูลเชิงลึก
inspire,สร้างแรงบันดาลใจ
instance,ตัวอย่าง
institute,สถาบัน
instruction,คำแนะนำ
instrument,เครื่องดนตรี
intelligence,สติปัญญา
intend,ตั้งใจ
intense,เข้มข้น
interest,น่าสนใจ
interesting,น่าสนใจ
international,ระหว่างประเทศ
interpret,ตีความ
interview,สัมภาษณ์
introduce,แนะนำ
invent,คิดค้น
invest,ลงทุน
investigation,ตรวจสอบ
invitation,คำเชิญ
involve,รวมถึง
iron,เหล็ก
issue,ปัญหา
it,มัน
its,ของมัน
jacket,แจ็คเก็ต
January,มกราคม
jeans,กางเกงยีนส์
job,งาน
joke,เรื่องตลก
journalist,นักข่าว
joy,ความปิติยินดี
judgement,การตัดสิน
July,กรกฎาคม
June,มิถุนายน
just,แค่
justify,แสดงให้เห็นถึง
keep,เก็บ
keyboard,แป้นพิมพ์
kid,เด็ก
killing,ที่ฆ่า
kind(type),ชนิด (ชนิด)
king,กษัตริย์
kitchen,ครัว
knife,มีด
know,ทราบ
lab,ห้องปฏิบัติการ
laboratory,ห้องปฏิบัติการ
lack,ไม่มี
lake,ทะเลสาป
land,ที่ดิน
language,ภาษา
large,ใหญ่
last1 (final),last1 (สุดท้าย)
late,สาย
latest,ล่าสุด
laughter,เสียงหัวเราะ
law,กฎหมาย
lay,วาง
lazy,ขี้เกียจ
leader,หัวหน้า
leading,ชั้นนำ
league,พันธมิตร
learn,เรียน
least,น้อยที่สุด
leave,ออกจาก
left,ซ้าย
legal,ถูกกฎหมาย
lemon,มะนาว
length,ความยาว
lesson,บทเรียน
letter,จดหมาย
library,ห้องสมุด
lie,โกหก
life,ชีวิต
lift,ยก
light (not heavy),แสง (ไม่หนัก)
like (find sb/sth pleasant),เช่น (พบ SB / ฏรื่นรมย์)
likely,เป็นไปได้
limited,ถูก จำกัด
link,ลิงค์
lip,ฝีปาก
list,รายการ
listener,ผู้ฟัง
little,น้อย
live2,live2
living,การดำรงชีวิต
loan,เงินกู้
locate,ตั้งอยู่
location,ที่ตั้ง
logical,ตรรกะ
long,ยาว
look,ดู
lord,เจ้า
lose,แพ้
lost,สูญหาย
loud,ดัง
love,รัก
low,ต่ำ
luck,โชค
lunch,อาหารกลางวัน
luxury,หรูหรา
mad,บ้า
magic,มายากล
main,หลัก
maintain,เก็บรักษา
majority,ส่วนใหญ่
male,ชาย
man,ชาย
management,การจัดการ
manner,ลักษณะ
map,แผนที่
mark,เครื่องหมาย
marketing,การตลาด
married,แต่งงาน
mass,มวล
master,เจ้านาย
matching,การจับคู่
mathematics,คณิตศาสตร์
matter,เรื่อง
May,อาจ
maybe,อาจจะ
meal,อาหาร
meaning,ความหมาย
meanwhile,ในขณะเดียวกัน
measurement,การวัด
media,สื่อ
medicine,ยา
meet,พบกัน
melt,ละลาย
memory,หน่วยความจำ
mention,กล่าวถึง
mess,ความยุ่งเหยิง
metal,โลหะ
metre,เมตร
midnight,เที่ยงคืน
mild,อ่อน
military,ทหาร
million number,ล้านหมายเลข
mine (belongs to me),การเหมืองแร่ (เป็นของฉัน)
mineral,แร่
minister,รัฐมนตรี
minority,ชนกลุ่มน้อย
mirror,กระจกเงา
missing,หายไป
mistake,ผิดพลาด
mixed,ผสม
mobile,โทรศัพท์มือถือ
modern,ทันสมัย
moment,ขณะ
money,เงิน
monkey,ลิง
mood,อารมณ์
moral,คุณธรรม
morning,ตอนเช้า
mostly,ส่วนใหญ่
motor,เครื่องยนต์
mount,ภูเขา
mouse,เม้าส์
move,ย้าย
movie,หนัง
mud,โคลน
multiply,คูณ
murder,ฆาตกรรม
museum,พิพิธภัณฑ์
musical,ดนตรี
must modal,ต้องเป็นกิริยาช่วย
myself,ตนเอง
mystery,ความลึกลับ
name,ชื่อ
narrow,แคบ
national,แห่งชาติ
natural,โดยธรรมชาติ
nature,ธรรมชาติ
nearly,เกือบ
necessarily,อย่างจำเป็น
neck,คอ
needle,เข็ม
neighbour,เพื่อนบ้าน
neither,ค่า
nervous,หงุดหงิด
network,เครือข่าย
nevertheless,แต่ถึงอย่างไร
news,ข่าว
next,ต่อไป
nice,ดี
nightmare,ฝันร้าย
nineteen,สิบเก้า
no,ไม่
nobody,ไม่มีใคร
noisy,ดัง
nor,ไม่
normally,ปกติ
northern,ภาคเหนือ
not,ไม่
nothing,ไม่มีอะไร
notion,ความคิด
November,พฤศจิกายน
nowhere,ไม่มีที่ไหนเลย
number,จำนวน
nurse,พยาบาล
obey,เชื่อฟัง
objective,วัตถุประสงค์
observation,การสังเกต
obtain,ได้รับ
obviously,อย่างชัดเจน
occasionally,เป็นครั้งคราว
ocean,มหาสมุทร
October,ตุลาคม
of,ของ
offence,การกระทำผิดกฎหมาย
offensive,น่ารังเกียจ
office,สำนักงาน
official,เป็นทางการ
oh,โอ้
OK,ตกลง
old-fashioned,หัวโบราณ
once,ครั้งหนึ่ง
onion,หัวหอม
only,เท่านั้น
open,เปิด
operate,ทำงาน
opinion,ความคิดเห็น
opportunity,โอกาส
opposed,ไม่เห็นด้วย
opposition,ฝ่ายค้าน
or,หรือ
order,ใบสั่ง
organ,อวัยวะ
organize,จัดระเบียบ
organizer,การจัดงาน
original,เป็นต้นฉบับ
other,อื่น ๆ
ought,ควร
ours,ของเราเอง
out,ออก
outdoor,กลางแจ้ง
outer,ด้านนอก
outside,ด้านนอก
over,เกิน
owe,เป็นหนี้
owner,เจ้าของ
pack,แพ็ค
page,หน้า
painful,เจ็บปวด
painter,จิตรกร
pair,คู่
pale,ซีด
panel,แผงหน้าปัด
paper,กระดาษ
parent,ผู้ปกครอง
parking,ที่จอดรถ
part,ส่วนหนึ่ง
participate,มีส่วนร่วม
particularly,โดยเฉพาะ
partner,หุ้นส่วน
pass,ผ่านไป
passenger,ผู้โดยสาร
passport,หนังสือเดินทาง
path,เส้นทาง
pattern,แบบแผน
payment,การชำระเงิน
peaceful,เงียบสงบ
pencil,ดินสอ
pension,เงินบำนาญ
pepper,พริกไทย
per cent,ร้อยละ
perfect,สมบูรณ์
perform,ปฏิบัติการ
perhaps,บางที
permanent,ถาวร
permit,ใบอนุญาต
personal,ส่วนบุคคล
personally,ส่วนตัว
persuade,ชักชวน
petrol,เบนซิน
phenomenon,ปรากฏการณ์
phone,โทรศัพท์
photograph,ถ่ายภาพ
photography,การถ่ายภาพ
physical,กายภาพ
piano,เปียโน
picture,ภาพ
pig,หมู
pilot,นักบิน
pink,สีชมพู
pitch,ขว้าง
plain,ที่ราบ
plane,เครื่องบิน
planning,การวางแผน
plastic,พลาสติก
platform,เวที
player,ผู้เล่น
please,กรุณา
pleasure,ความสุข
plot,พล็อต
pocket,กระเป๋าเสื้อ
poet,กวี
point,จุด
poison,ยาพิษ
police,ตำรวจ
policy,นโยบาย
political,ในทางการเมือง
politics,การเมือง
pool,สระ
pop,ป๊อปอัพ
popularity,ความนิยม
port,ท่าเรือ
pose,ก่อให้เกิด
positive,บวก
possession,สมบัติ
